# source_sha256=2a9ffd46b0e4ff3c87b3403ecb299a812653df1064246c63d78dd64d6685df80
id	original	korean
I01L	|cFF949596记忆拼图Ⅳ|r	|cFF949596기억 퍼즐 Ⅳ|r
I01M	|cFF949596记忆拼图Ⅴ|r	|cFF949596기억 퍼즐 Ⅴ|r
I01N	|cFFFFFF00Romanの祝福|r	|cFFFFFF00Roman의 축복|r
I01P	|cFFCC0066邪神剑|r	|cFFCC0066사신검|r
I01Q	|cFFFF3333血坏药剂|r	|cFFFF3333혈괴 약제|r
I01V	|cFF333333神|r|cFF5C5C5C之|r|cFF858585花|r|cFFADADAD瓣|r	|cFF333333신의 꽃잎|r
I01W	|cFF00CCFF权力之刃|r	|cFF00CCFF권력의 칼날|r
I01X	|cFF990000深|r|cFFAD3300渊|r|cFFC26600宝|r|cFFD69900箱|r	|cFF990000심연 보물상자|r
I01Y	|cFF0041FF权力之冠|r	|cFF0041FF권력의 왕관|r
I01Z	|cFF0041FF无冕之王|r	|cFF0041FF무관의 왕|r
I020	|cFFFFFF00菊一文字则宗|r	|cFFFFFF00키쿠이치몬지 노리무네|r
I021	|cFFFFFF00诚之旗|r	|cFFFFFF00성실의 깃발|r
I024	|cFFFF0000生之花|r	|cFFFF0000생명의 꽃|r
I025	|cFFFF0000破戒刀|r	|cFFFF0000파계도|r
I027	|cFFFF6600棒球棍|r	|cFFFF6600야구방망이|r
I029	|cFF0041FF潮汐|r	|cFF0041FF조석|r
I02B	|cFFFFFF00风祝の御币|r	|cFFFFFF00카자하후리의 고헤이|r
I02C	|cFF6633FF不可能の明日|r	|cFF6633FF불가능한 내일|r
I02D	无名长裙	이름 없는 드레스
I02E	|cFF1BE6B8鲁纳斯泉水|r	|cFF1BE6B8루나스 샘물|r
I02F	|cFF1FBF00以太药剂|r	|cFF1FBF00에테르 약물|r
I02G	|cFFFF0066麻婆豆腐|r	|cFFFF0066마파두부|r
I02H	|cFF6699CC冥王星之药|r	|cFF6699CC명왕성의 약|r
I02I	|cFF3333FF草薙剑|r	|cFF3333FF쿠사나기 검|r
I02J	|cFF339900遗物-摩托车|r	|cFF339900유물-오토바이|r
I02K	遗物-鲜血之种	유물-선혈의 씨앗
I02L	|cFF339900遗物-狩猎本能|r	|cFF339900유물-사냥 본능|r
I02M	遗物-保罗的羊蹄	유물-폴의 염소발
I02N	|cFFFF9900传说-反射棱镜|r	|cFFFF9900전설-반사 프리즘|r
I02O	遗物-四叶草	유물-네잎클로버
I02P	|cFF339900遗物-生锈小刀|r	|cFF339900유물-녹슨 단검|r
I02Q	遗物-活体树甲	유물-살아 있는 나무 갑옷
I02R	遗物-聚焦眼镜	유물-집중 안경
I02S	|cFF339900遗物-苦涩树根|r	|cFF339900유물-쓴 뿌리|r
I02T	遗物-隐士围巾	유물-은둔자의 목도리
I02U	|cFF339900遗物-和平鸽|r	|cFF339900유물-평화의 비둘기|r
I02V	|cFF006666类|r|cFF338585星|r|cFF66A3A3天|r|cFF99C2C2陨|r	|cFF006666퀘이사 낙성|r
I02W	遗物-刽子手之妻	유물-처형인의 아내
I02X	遗物-银弹	유물-은탄
I02Y	|cFF339900遗物-血袋|r	|cFF339900유물-혈액 주머니|r
I02Z	遗物-治愈精灵	유물-치유 정령
I030	|cFFFFCC33次元の回忆|r	|cFFFFCC33차원의 추억|r
I031	|cFF660066哀叹之种|r|n	|cFF660066그리프 시드|r
I032	|cFF1FBF00红酒|r	|cFF1FBF00레드 와인|r
I033	|cFF0041FF血腥玛丽|r	|cFF0041FF블러디 메리|r
I034	|cFF7DBEF1啤酒|r	|cFF7DBEF1맥주|r
I035	|cFF6666FF魔君兴奋剂|r	|cFF6666FF마군의 흥분제|r
I036	|cFFFF6600星辉注射剂|r	|cFFFF6600별빛 주사제|r
I037	|cFF1FBF00牛奶|r	|cFF1FBF00우유|r
I038	|cFF1BE6B8资源箱|r	|cFF1BE6B8자원 상자|r
I039	|cFF6600FF『杀生石』|r	|cFF6600FF『살생석』|r
I03A	|cFFFF0000祟|r	|cFFFF0000재앙|r
I03C	|cFFFF0066混沌传送权杖|r	|cFFFF0066혼돈의 순간이동 지팡이|r
I03E	钱袋	돈주머니
I03H	|cFFFFFF00世界的绘本-零|r	|cFFFFFF00세계의 그림책-제로|r
I03I	|cFFFFFF00世界的绘本-加奈|r	|cFFFFFF00세계의 그림책-카나|r
I03J	|cFFCC0000残暴心|r	|cFFCC0000잔혹한 마음|r
I03K	|cFF949596戒|r	|cFF949596계율|r
I03M	|cFF00FF66圣诞糖果(瓶装)|r	|cFF00FF66크리스마스 사탕(병)|r
I03N	|cFFE500AF九字兼定|r	|cFFE500AF쿠지 카네사다|r
I03O	|cFFE500AF九字兼定 - 境界|r	|cFFE500AF쿠지 카네사다 - 경계|r
I03P	|cFFFF0000禁忌「レーヴァテイン」|r	|cFFFF0000금기 「레바테인」|r
I03Q	|cFF00FF66芙兰朵露的日记残片①|r	|cFF00FF66플랑드르의 일기 조각 ①|r
I03R	|cFF00FF66芙兰朵露的日记残片②|r	|cFF00FF66플랑드르의 일기 조각 ②|r
I03S	|cFF00FF66芙兰朵露的日记残片③|r	|cFF00FF66플랑드르의 일기 조각 ③|r
I03T	|cFF990000伪经-罪罚|r	|cFF990000위경-죄와 벌|r
I03U	|cFFCC0000染血の佛珠|r	|cFFCC0000피로 물든 염주|r
I03V	|cFFFF3300日轮刀|r	|cFFFF3300일륜도|r
I03X	|cFFCC0000散发着红光的刀刃|r	|cFFCC0000붉은 빛을 발하는 칼날|r
I03Y	|cFF0041FF七夜|r	|cFF0041FF나나야|r
I03Z	|cFF3366FF洋流|r	|cFF3366FF해류|r
I042	|cFFCC0000红魔秘史|r	|cFFCC0000홍마비사|r
I048	|cFFFF3333命运|r	|cFFFF3333운명|r
I049	|cFFFF3300命运之力|r	|cFFFF3300운명의 힘|r
I04D	|cFFFFFF00金色怀表|r	|cFFFFFF00황금 회중시계|r
I04F	|cFFFF6600蓬莱仙药|r	|cFFFF6600봉래의 약|r
I04G	冰川钥匙	빙하의 열쇠
I04H	|CffFF0000神枪·「スピア·ザ·グングニル」|r	|cffFF0000신창 「스피어 더 궁니르」|r
I04I	|cFF3366FF《他乡的歌谣-泪》|r	|cFF3366FF《타향의 노래-눈물》|r
I04J	|cFF3366FF《他乡的歌谣-悲》|r	|cFF3366FF《타향의 노래-슬픔》|r
I04K	|cFF0041FF《泪|r|cFF1D5AFF落|r|cFF2C67FF星空》|r	|cFF0041FF《별하늘에 떨어지는 눈물》|r
I04L	|cFFFF6600日轮竹.解放|r	|cFFFF6600일륜죽·해방|r
I04N	|cFF009933箭|r	|cFF009933화살|r
I04O	|cFF009933虫箭|r	|cFF009933벌레 화살|r
I04P	|cFF9900001i撒旦|r|cFFAD141F - Satan|r	|cFF9900001i사탄 - Satan|r
I04Q	|cFF1BE6B82i别西卜|r|cFF40F2DC - Beelzebub|r	|cFF1BE6B82i벨제부브 - Beelzebub|r
I04R	|cFF1F253F3i路西弗格|r|cFF473F42 - Rophocale|r	|cFF1F253F3i루키푸게 - Rophocale|r
I04S	|cFF0209824i阿斯塔罗特|r|cFF31208C - Astaroth|r	|cFF0209824i아스타로트 - Astaroth|r
I04T	|cFF3333335i阿斯蒙蒂斯|r|cFF464747 - Asmodeus|r	|cFF3333335i아스모데우스 - Asmodeus|r
I04U	|cFFFFCC996i贝尔芬格|r|cFFFFC27A - Belphegor|r	|cFFFFCC996i벨페고르 - Belphegor|r
I04V	|cFFFF66FF7i巴尔|r|cFFFF52E0 - Baal|r	|cFFFF66FF7i바알 - Baal|r
I04W	|cFFCC00CC8i亚德米勒|r|cFFD633D6 - Adramelech|r	|cFFCC00CC8i아드라멜렉 - Adramelech|r
I04X	|cFFFFCCCC9i莉莉丝|r|cFFFFD6C2 - Lilith|r	|cFFFFCCCC9i릴리스 - Lilith|r
I04Y	|cFF66666610i拿玛|r|cFF858585 - Nahema|r	|cFF66666610i나헤마 - Nahema|r
I04Z	|cFFFF3333非想非非想の剑|r	|cFFFF3333비상비비상의 검|r
I050	|cFF3333FF天剑十字|r	|cFF3333FF천검십자|r
I051	|cFF3333FF暗之书|r	|cFF3333FF어둠의 서|r
I052	|cFF3333FF暗の书页I|r	|cFF3333FF어둠의 책장 I|r
I053	|cFF3333FF暗の书页II|r	|cFF3333FF어둠의 책장 II|r
I054	|cFF3333FF暗の书页III|r	|cFF3333FF어둠의 책장 III|r
I055	|cFFFF0000博丽赛钱箱|r	|cFFFF0000하쿠레이 새전함|r
I057	|cFFFFD400夏娃|r|cFFFFAA00的|r|cFFFF8000心脏|r	|cFFFFD400이브의 심장|r
I058	|cFF9999FF拉莱耶|r|cFF7A7AFFの|r|cFF5C5CFF祝福|r	|cFF9999FF르뤼에의 축복|r
I059	|cFFFF9900炸鱼薯条|r	|cFFFF9900피시 앤드 칩스|r
I05A	|cFFFFFF99小天鹅|r|cFFFFE673の|r|cFFFFCC4C炸鱼薯条|r	|cFFFFFF99시그넷의 피시 앤드 칩스|r
I05C	|CffFF0000高频村雨刀|r	|cffFF0000고주파 무라사마|r
I05D	|cFF0099FF七式突击降魔机枪-雪霞狼|r	|cFF0099FF칠식 돌격항마기창-설하랑|r
I05E	|cFFCC66FF忴|r	|cFFCC66FF렴|r
I05G	|cFF7DBEF1咖啡|r	|cFF7DBEF1커피|r
I05H	|cFFFF66FF小爱特制.|r|cFFFF99FF七环|r	|cFFFF66FF아이 특제·일곱 고리|r
I05J	|cFF7DBEF1合金箭矢|r	|cFF7DBEF1합금 화살|r
I05K	脉冲电荷弓	펄스 전하 활
I05L	|cFF7DBEF1达姆弹-黑牙|r	|cFF7DBEF1덤덤탄-검은 송곳니|r
I05M	|cFFFF3300压切长谷部|r	|cFFFF3300헤시키리 하세베|r
I05N	|cFF996699村正|r	|cFF996699무라마사|r
I05O	|cFF336699鬼丸国纲|r	|cFF336699오니마루 쿠니츠나|r
I05P	|cFFCC3366绯|r	|cFFCC3366비색|r
I05Q	|cFF99FFFF布都御魂|r	|cFF99FFFF후츠노미타마|r
I05R	|cFFCC33CC童子切安纲|r	|cFFCC33CC도지기리 야스츠나|r
I05S	|cFFFF9900和泉守兼定|r	|cFFFF9900이즈미노카미 카네사다|r
I05T	|cFFCCFFFF白楼剑|r	|cFFCCFFFF백루검|r
I05U	|cFF99CCFF楼观剑|r	|cFF99CCFF누관검|r
I05V	|cFFFFCC33观世正宗|r	|cFFFFCC33칸제 마사무네|r
I05W	|cFF999999灰狐刀|r	|cFF999999그레이 폭스의 검|r
I05X	|cFFCC0000斩机刀-那由他|r	|cFFCC0000참기도-나유타|r
I05Y	|cFFFF9900辉|r|cFFFFAD14煌|r|cFFFFC229耀|r|cFFFFD63D世|r	|cFFFF9900세상을 비추는 광휘|r
I05Z	|cFF3366FF业物|r	|cFF3366FF와자모노|r
I060	|cFFFF6600光剑|r	|cFFFF6600광선검|r
I061	|cFFFF6600镰刀|r	|cFFFF6600낫|r
I062	|cFFFF6600钢爪|r	|cFFFF6600강철 발톱|r
I063	|cFFFF6600战斧|r	|cFFFF6600전투도끼|r
I064	|cFF33CCCC空间之刃|r	|cFF33CCCC공간의 칼날|r
I066	|cFF7DBEF1螺旋塔弹|r	|cFF7DBEF1나선탑 탄환|r
I067	|cFF6600FF『玉藻镇石』|r	|cFF6600FF『타마모의 진석』|r
I068	|cFF6699FF弹药箱|r	|cFF6699FF탄약 상자|r
I069	|cFF3366FF湮灭|r|cFF4C4CBF-|r|cFF663380P1|r	|cFF3366FF소멸-P1|r
I06A	|cFF7DBEF1S02-SU弹|r	|cFF7DBEF1S02-SU 탄환|r
I06B	|cFF7DBEF1塔纳活性能量弹|r	|cFF7DBEF1타나 활성 에너지탄|r
I06C	|cFF7DBEF1劳伯奈利斯化武弹|r	|cFF7DBEF1라우베넬리스 화학탄|r
I06D	|cFFCCFFFF迷|r|cFF99D0FF路|r|cFF66A0FF帖|r	|cFFCCFFFF미로첩|r
I06E	|cFFFFFF33轩|r|cFFFFE633辕|r|cFFFFCC33剑(封)|r	|cFFFFFF33헌원검(봉인)|r
I06F	|cFF6633FF紫阳伞|r	|cFF6633FF자양산|r
I06G	|cff5d1cf4苍|r|cff506ffdの|r|cffa700ff灯笼|r	|cff5d1cf4아오의 등불|r
I06H	|cFFFF0000石|r|cFFFF4040鬼|r|cFFFF8080面|r	|cFFFF0000돌가면|r
I06I	|cFFFF9999空白面具|r	|cFFFF9999백지 가면|r
I06J	|cFFCC0066妖狐面|r	|cFFCC0066요호 가면|r
I06K	|cFFCC0066般若面|r	|cFFCC0066한냐 가면|r
I06L	|cFFCC0066长壁面|r	|cFFCC0066오사카베 가면|r
I06M	|cFFCC0066鬼婆面|r	|cFFCC0066오니바바 가면|r
I06N	|cFFCC0066狮子面|r	|cFFCC0066사자 가면|r
I06O	|cFFCC0066火男面|r	|cFFCC0066횻토코 가면|r
I06P	|cFF000099黑|r|cFF000073刀|r|cFF00004C-夜|r	|cFF000099흑도-요루|r
I06Q	1积分	1 포인트
I06R	5积分	5 포인트
I06S	50积分	50 포인트
I06T	200积分	200 포인트
I06U	400积分	400 포인트
I06V	小型恢复神符	작은 회복 룬
I06W	恢复神符	회복 룬
I06X	大型恢复神符	큰 회복 룬
I06Y	|cFF3399FF流光匕首|r	|cFF3399FF유광 단검|r
I06Z	|cFFFF33FF东方|r|cFFD966FF求闻|r|cFFB299FF史记|r	|cFFFF33FF동방구문사기|r
I070	|cFF3399FF善良|r|cFF66B2FFの|r|cFF99CCFF死神|r	|cFF3399FF선량한 사신|r
I071	|cFFFF6699封魔壶|r	|cFFFF6699봉마호|r
I072	|cFFCC99FF镇妖壶|r	|cFFCC99FF진요호|r
I073	|cFFFF66FF蔷薇花开|r	|cFFFF66FF피어나는 장미|r
I078	|cFFCCFFFF四叶草|r|cFF80FFCC的初心|r	|cFFCCFFFF네잎클로버의 초심|r
I079	|cFFFFCCFF水|r|cFFFFD9CC果|r|cFFFFE699刀|r	|cFFFFCCFF과도|r
I07B	|CffFF0000高频村雨刀（锁定）|r	|cffFF0000고주파 무라사마(잠김)|r
I07C	|cFF8AC2FF魔|r|cFF94B3FF人|r|cFF9EA3FF经|r|cFFA894FF卷|r	|cFF8AC2FF마인의 경전|r
I07D	|cFF9999FF紫阳花|r	|cFF9999FF수국|r
I07E	四叶草の初心	네잎클로버의 초심
I07F	|cFF3399CC御神刀·村雨|r	|cFF3399CC어신도·무라사메|r
I07G	|cFF999999碎裂|r|cFF808C99的御|r|cFF668099神刀|r	|cFF999999부서진 어신도|r
I07H	|cFF336699禁|r|cFF47527A忌|r|cFF5C3D5C之|r|cFF70293D血|r	|cFF336699금기의 피|r
I07I	|cFFFF3399万宝槌|r	|cFFFF3399만보추|r
I07J	|cFF99FFFF神刀-丛雨丸|r	|cFF99FFFF신도-무라사메마루|r
I07L	|cFFFFFF00沙|r|cFFFFEB00海|r|cFFFFD600之|r|cFFFFC200晶|r	|cFFFFFF00모래바다의 결정|r
I07M	|cFFFF9900利比亚碎片|r	|cFFFF9900리비아 파편|r
I07N	紫阳花	수국
I07Q	待解锁	해금 대기
I07R	|cFF0033CC月面-雨中提琴[刀光哥]|r	|cFF0033CC월면-빗속의 바이올린[도광 형님]|r
I07S	遗物-撬棍	유물-쇠지렛대
I07T	遗物-更艰难的时光	유물-더 힘든 시절
I07U	|cFF339900遗物-玫瑰圆盾|r	|cFF339900유물-장미 원형방패|r
I07V	|cFF339900遗物-陈旧断头台|r	|cFF339900유물-낡은 단두대|r
I07W	|cFF993399遗物-遗物背包|r	|cFF993399유물-유물 가방|r
I07X	无法使用	사용할 수 없습니다.
I07Y	|cFFFF9900传说-世界树之根|r	|cFFFF9900전설-세계수의 뿌리|r
I07Z	|cFFFF9900传说-璀璨珍珠|r	|cFFFF9900전설-찬란한 진주|r
I080	|cFF0033CC月面-易碎王冠|r	|cFF0033CC월면-부서지기 쉬운 왕관|r
I081	|cFF0033CC月面-塑形玻璃|r	|cFF0033CC월면-성형 유리|r
I082	|cFF0033CC月面-悲伤雕像|r	|cFF0033CC월면-슬픔의 조각상|r
I083	|cFF0033CC月面-战争契约|r	|cFF0033CC월면-전쟁 계약|r
I084	|cFF0033CC月面-变化叶脊|r	|cFF0033CC월면-변화하는 잎맥|r
I085	遗物箱	유물 상자
I086	稀有箱	희귀 상자
I087	传奇箱	전설 상자
I088	深渊箱	심연 상자
I089	神话箱	신화 상자
I08A	月面球	월면 구슬
I08B	|cFF6699CC哥哥送的笛子|r	|cFF6699CC오빠가 준 피리|r
I08C	|cFF6699FF海晶体|r	|cFF6699FF바다 결정체|r
I08D	海晶花	바다 결정꽃
I08E	|cFF66CCFF幻|r|cFF52A3FF海|r|cFF3D7AFF结|r|cFF2952FF晶|r	|cFF66CCFF환해 결정|r
I08L	老旧的书籍	낡은 책
I08M	金币箱	금화 상자
I08N	积分箱	포인트 상자
I08O	|cFFCC0000柴刀|r	|cFFCC0000장작칼|r
I08P	|cFF99CCFF魔|r|cFF8888FF素|r	|cFF99CCFF마소|r
I08Q	|cFF99CCFF大|r|cFF80B2FF贤|r|cFF6699FF者|r	|cFF99CCFF대현자|r
I08R	|cFF6666CC阐释者|r	|cFF6666CC일루시데이터|r
I08S	|cFF993333碎裂的笛子|r	|cFF993333부서진 피리|r
I08T	书	책
I08U	|cFFFFCC99小人族の信仰|r	|cFFFFCC99소인족의 신앙|r
I08V	|cFF6699FF天殛之钥|r	|cFF6699FF천극의 열쇠|r
I08W	|cFF330099天殛|r|cFF4026B2之镜|r|cFF4C4CCC.裁决|r	|cFF330099천극의 거울·재결|r
I08X	|cFF9966CC糖果|r	|cFF9966CC사탕|r
I08Y	|cFFFFCC33圣杯残片|r	|cFFFFCC33성배 파편|r
I08Z	|cFFFFCC00粉碎之正义|r	|cFFFFCC00분쇄하는 정의|r
I090	|cFFFFCC00DIO最好的朋友|r	|cFFFFCC00DIO의 가장 친한 친구|r
I091	|cFF3366FF零时迷子|r	|cFF3366FF영시미아|r
I092	|cFFFF9900百兽王化[狮子王]|r	|cFFFF9900백수왕화 [라이오넬]|r
I093	|cFFCC66FF万物两断[销魂]|r	|cFFCC66FF만물양단 [엑스터스]|r
I094	|cFF0041FF魔神显现[恶魔之粹]|r	|cFF0041FF마신현현 [데몬즈 엑스트랙트]|r
I095	|cFFFF99FF变身自在[盖亚粉底]|r	|cFFFF99FF변신자재 [가이아 파운데이션]|r
I097	|cFF66CCFF心智魔方|r	|cFF66CCFF마인드 큐브|r
I098	|cFF66CCFF水|r|cFF4CA9FF之|r|cFF3386FF星|r	|cFF66CCFF물의 별|r
I099	|cFF339966逸龙剑 - 抉择|r	|cFF339966일룡검 - 선택|r
I09A	|cFFFF0000妖|r|cFFE61A2A精|r|cFFCC3355的|r|cFFB24C80尾巴|r	|cFFFF0000페어리 테일|r
I09B	|cFF0099FF地|r|cFF0E80EA狱|r|cFF1C66D5の|r|cFF2A4CC0轮祸|r	|cFF0099FF지옥의 윤화|r
I09C	|cFF9933CC暗影之核|r	|cFF9933CC그림자의 핵|r
I09D	|cFF6699FF魔力石|r	|cFF6699FF마력석|r
I09E	魔力石不限量版	마력석 무제한판
I09F	|cFFFFCCFF无限|r|cFFFFBBAA烤|r|cFFFFB280薄饼|r	|cFFFFCCFF무한 팬케이크|r
I09H	|cFF3366FF百|r|cFF335CD6鬼|r|cFF3352AD枷|r|cFF334785锁|r	|cFF3366FF백귀의 족쇄|r
I09L	|cFF3399FF要|r|cFF7799FF石|r	|cFF3399FF요석|r
I09M	|cFF333333干|r|cFF5C5C5C将|r|cFF858585莫|r|cFFADADAD邪|r	|cFF333333간장·막야|r
I09N	义眼安装	의안 장착
I09O	次元の回忆购买	차원의 추억 구매
I09P	|cFFCC0000杀|r|cFFC21F1F戮|r|cFFB83D3D结|r|cFFAD5C5C晶|r	|cFFCC0000살육 결정|r
I09Q	|cFF6633FF影|r|cFF4C26BF之|r|cFF331A80石|r	|cFF6633FF그림자 돌|r
I09R	影之石购买	그림자 돌 구매
I09S	聊天	대화
I09T	|cFFFF9933机|r|cFFD98040巧|r|cFFB2664C粉|r	|cFFFF9933기교 가루|r
I09U	机巧粉不限量版	기교 가루 무제한판
I09V	|cFFFFFF00雷|r|cFFFFFF40之|r|cFFFFFF80粹|r	|cFFFFFF00번개의 정수|r
I09X	|cFF7DBEF1极|r|cFF6498F4光|r|cFF4B72F7之|r|cFF324CF9钢|r	|cFF7DBEF1오로라강|r
I09Y	|cFFFF9900煌|r|cFFFF7A00星|r|cFFFF5C00碎|r|cFFFF3D00片|r	|cFFFF9900황성의 조각|r
I0A0	|cFFCC0000深渊|r|cFF660000邀请函|r	|cFFCC0000심연 초대장|r
I0A1	兑换深渊邀请函	심연 초대장 교환
I0A2	|cFF66FF99世|r|cFF66FFAD界|r|cFF66FFC2树|r|cFF66FFD6之种|r	|cFF66FF99세계수의 씨앗|r
I0A3	|cFF66FFFF永|r|cFF5CE0FF远|r|cFF52C2FF结|r|cFF47A3FF冰|r	|cFF66FFFF영원결빙|r
I0A4	|cFFCC3366蛮|r|cFFCC2985神|r|cFFCC1FA3心|r|cFFCC14C2脏|r	|cFFCC3366만신의 심장|r
I0A5	|cFFFF0000「都|r|cFFFF2600牟刈|r|cFFFF4C00村正」|r	|cFFFF0000「츠무카리 무라마사」|r
I0A7	|cFFFF3300匠|r|cFFE03D14之|r|cFFC24729年|r|cFFA3523D糕|r	|cFFFF3300장인의 떡|r
I0A8	|cFF66FF99丛雨|r|cFF80FFB2丸伴|r|cFF99FFCC剑|r	|cFF66FF99무라사메마루의 동반검|r
I0AA	|cFF3366FF银冰|r|cFF5C85FF之|r|cFF85A3FF枪|r	|cFF3366FF은빙의 창|r
I0AB	|cFF6633FF糖|r|cFF8026BF果|r|cFF991A80袋|r	|cFF6633FF사탕 주머니|r
I0AC	|cFF66CCFF白音|r|cFF8CB2FFの|r|cFFB299FF日记|r	|cFF66CCFF시로네의 일기|r
I0AD	|cFFFFCCFF灵刀|r|cFFFFA6FF·樱|r|cFFFF80FF吹雪|r	|cFFFFCCFF영도·사쿠라 후부키|r
I0AF	|cFFFFCC00金苹果|r	|cFFFFCC00황금 사과|r
I0AG	|cFF999999银苹果|r	|cFF999999은 사과|r
I0AH	|cFFFF0033苹果|r	|cFFFF0033사과|r
I0AI	|cFFCC0066禁|r|cFFDD358C果|r	|cFFCC0066금단의 열매|r
I0AJ	|cFFFFFF00昔|r|cFFFFE608日|r|cFFFFCC11的|r|cFFFFB21A记忆|r	|cFFFFFF00지난날의 기억|r
I0AL	|cFFFF6633金黄|r|cFFFF8C26色的|r|cFFFFB21A誓言|r	|cFFFF6633황금빛 맹세|r
I0AN	|cFFFFFF00圣|r|cFFE0FF1F诞|r|cFFC2FF3D礼|r|cFFA3FF5C盒|r	|cFFFFFF00크리스마스 선물상자|r
I0AO	|cFFFF9900充满智慧的斧子|r	|cFFFF9900지혜가 가득한 도끼|r
I0AP	|cFF330099潘多|r|cFF4C26B2拉之|r|cFF664CCC心|r	|cFF330099판도라의 마음|r
I0AQ	|cFFFF0000薄|r|cFF1BE6B8暝|r	|cFFFF0000박명|r
I0AR	|cFFFF66CC奇|r|cFFD65CC2妙~☆|r|cFFAD52B8仙|r|cFF8547AD境|r	|cFFFF66CC원더~☆랜드|r
I0B6	|cFFCC33FF虚无魔石碎片|r	|cFFCC33FF허무 마석 파편|r
I0B8	|cFF530080劫|r|cFF7E4060之|r|cFFA98040眼|r	|cFF530080겁의 눈|r
I0B9	|cFFCCFFFF《魔女之旅》|r	|cFFCCFFFF《마녀의 여행》|r
I0BA	|cFFCCFFFF魔|r|cFFBCF2FC女|r|cFFACE5F9帽|r|cFF9DD8F7子|r	|cFFCCFFFF마녀의 모자|r
I0BB	|cFFCC6633魔|r|cFFB8663D女|r|cFFA36647扫|r|cFF8F6652帚|r	|cFFCC6633마녀의 빗자루|r
I0BC	|cFF330099魔|r|cFF3D1FAD女|r|cFF473DC2衣|r|cFF525CD6袍|r	|cFF330099마녀의 로브|r
I0BD	|cFF99FFFF星|r|cFFADEBFF形|r|cFFC2D6FF胸|r|cFFD6C2FF针|r	|cFF99FFFF별 모양 브로치|r
I0BE	|cFFCCFFFF魔|r|cFFCCAAFF杖|r	|cFFCCFFFF마법 지팡이|r
I0BG	|cFFCCFFFF「白蛇|r|cFF7AD6D6传|r|cFF52C2C2记」|r	|cFFCCFFFF「백사전기」|r
I0BH	|cFF99FFFF「龙人|r|cFFC2EBAD秘|r|cFFD6E085抄」|r	|cFF99FFFF「용인비초」|r
I0BI	|cFFCCFFFF折|r|cFFA3EBFF纸|r|cFF7AD6FF无|r|cFF52C2FF铭|r	|cFFCCFFFF종이접기 무명|r
